time,computers on
2016-09-04 08:58:21,17
2016-09-04 09:15:59,17
2016-09-04 09:33:36,17
2016-09-04 09:51:14,17
2016-09-04 10:08:51,17
2016-09-04 10:26:29,17
2016-09-04 10:44:07,17
2016-09-04 11:01:44,17
2016-09-04 11:19:22,17
2016-09-04 11:36:59,17
2016-09-04 11:54:37,17
2016-09-04 12:12:15,17
2016-09-04 12:29:52,17
2016-09-04 12:47:30,17
2016-09-04 13:05:08,17
2016-09-04 13:22:45,17
2016-09-04 13:40:23,17
2016-09-04 13:58:00,17
2016-09-04 14:15:38,17
2016-09-04 14:33:16,17
2016-09-04 14:50:53,17
2016-09-04 15:08:31,17
2016-09-04 15:26:08,17
2016-09-04 15:43:46,17
2016-09-04 16:01:24,17
2016-09-04 16:19:02,17
2016-09-04 16:36:39,17
2016-09-04 16:54:17,17
2016-09-04 17:11:54,17
2016-09-04 17:29:32,17
2016-09-04 17:47:10,17
2016-09-04 18:04:47,17
2016-09-04 18:22:25,17
2016-09-04 18:40:03,17
2016-09-04 18:57:40,17
2016-09-04 19:15:18,17
2016-09-04 19:32:55,17
2016-09-04 19:50:39,17
2016-09-04 20:08:16,17
2016-09-04 20:25:54,17
2016-09-04 20:43:31,17
2016-09-04 21:01:09,17
2016-09-04 21:18:47,17
2016-09-04 21:36:24,17
2016-09-04 21:54:02,17
2016-09-04 22:11:40,17
2016-09-04 22:29:17,17
2016-09-04 22:46:55,17
2016-09-04 23:04:32,17
2016-09-04 23:22:10,17
2016-09-04 23:39:48,17
2016-09-04 23:57:25,17
2016-09-05 00:15:03,17
2016-09-05 00:32:40,17
2016-09-05 00:50:18,17
2016-09-05 01:07:56,17
2016-09-05 01:25:34,17
2016-09-05 01:43:11,17
2016-09-05 02:00:49,17
2016-09-05 02:18:27,17
2016-09-05 02:36:04,17
2016-09-05 02:53:42,17
2016-09-05 03:11:20,17
2016-09-05 03:28:57,17
2016-09-05 03:46:35,17
2016-09-05 04:04:12,16
2016-09-05 04:21:50,16
2016-09-05 04:39:28,16
2016-09-05 04:57:05,16
2016-09-05 05:14:43,16
2016-09-05 05:32:20,16
2016-09-05 05:49:58,16
2016-09-05 06:07:36,16
2016-09-05 06:25:13,16
2016-09-05 06:42:51,16
2016-09-05 07:00:29,16
2016-09-05 07:18:06,16
2016-09-05 07:35:44,16
2016-09-05 07:53:21,16
2016-09-05 08:10:59,16
2016-09-05 08:28:37,17
2016-09-05 08:46:14,17
2016-09-05 09:03:52,18
2016-09-05 09:21:30,19
2016-09-05 09:39:07,25
2016-09-05 09:56:45,33
2016-09-05 10:14:23,39
2016-09-05 10:32:00,38
2016-09-05 10:49:38,38
2016-09-05 11:07:16,40
2016-09-05 11:24:53,40
2016-09-05 11:42:31,40
2016-09-05 12:00:09,39
2016-09-05 12:17:46,40
2016-09-05 12:35:24,39
2016-09-05 12:53:02,39
2016-09-05 13:10:39,40
2016-09-05 13:28:17,39
2016-09-05 13:45:55,39
2016-09-05 14:03:32,39
2016-09-05 14:21:10,39
2016-09-05 14:38:47,38
2016-09-05 14:56:25,38
2016-09-05 15:14:03,40
2016-09-05 15:31:40,39
2016-09-05 15:49:18,39
2016-09-05 16:06:56,39
2016-09-05 16:24:33,39
2016-09-05 16:42:11,39
2016-09-05 16:59:48,37
2016-09-05 17:17:26,37
2016-09-05 17:35:04,30
2016-09-05 17:53:47,21
2016-09-05 18:11:25,21
2016-09-05 18:29:03,20
2016-09-05 18:46:40,20
2016-09-05 19:04:18,19
2016-09-05 19:21:56,18
2016-09-05 19:39:34,18
2016-09-05 19:57:11,18
2016-09-05 20:14:49,18
2016-09-05 20:32:27,18
2016-09-05 20:50:04,18
2016-09-05 21:07:42,18
2016-09-05 21:25:19,18
2016-09-05 21:42:57,18
2016-09-05 22:00:35,18
2016-09-05 22:18:12,18
2016-09-05 22:35:50,18
2016-09-05 22:53:27,18
2016-09-05 23:11:05,18
2016-09-05 23:28:43,18
2016-09-05 23:46:20,18
2016-09-06 00:03:58,18
2016-09-06 00:21:36,18
2016-09-06 00:39:13,18
2016-09-06 00:56:51,18
2016-09-06 01:14:29,18
2016-09-06 01:32:06,18
2016-09-06 01:49:44,18
2016-09-06 02:07:21,18
2016-09-06 02:24:59,18
2016-09-06 02:42:37,18
2016-09-06 03:00:14,18
2016-09-06 03:17:52,18
2016-09-06 03:35:29,18
2016-09-06 03:53:07,18
2016-09-06 04:10:45,18
2016-09-06 04:28:22,18
2016-09-06 04:46:00,18
2016-09-06 05:03:38,18
2016-09-06 05:21:15,18
2016-09-06 05:38:53,18
2016-09-06 05:56:31,18
2016-09-06 06:14:08,18
2016-09-06 06:31:46,18
2016-09-06 06:49:24,18
2016-09-06 07:07:01,18
